topology,A*,BFS (unweighted),Bellman-Ford,Bidirectional Dijkstra,Dijkstra,Floyd-Warshall
bottleneck,0.381,0.071,1.685,0.458,0.392,18.698
dense_mesh,0.476,0.072,3.1,0.178,0.434,85.986
grid,0.186,0.046,1.401,0.104,0.177,428.873
line,0.159,0.065,5.216,0.147,0.161,483.991
ring,0.177,0.073,6.481,0.149,0.195,564.282
scale_free,0.334,0.066,1.271,0.105,0.333,617.063
small_world,0.208,0.052,0.993,0.072,0.224,443.224
sparse_random,0.548,0.095,3.769,0.177,0.508,620.952
star,0.224,0.057,0.307,0.013,0.28,798.767
tree,0.119,0.038,0.297,0.052,0.15,304.855
