topology,graph_id,num_nodes,num_edges,source,target,graph_image,algorithm,path_cost,path_hops,nodes_visited,edges_relaxed,execution_time_ms,success
line,0,77,76,48,35,graph_images\line\line_graph_0.png,Dijkstra,264,13,25,48,0.08270004764199257,True
line,0,77,76,48,35,graph_images\line\line_graph_0.png,Bellman-Ford,264,13,76,7448,1.1475998908281326,True
line,0,77,76,48,35,graph_images\line\line_graph_0.png,A*,264,13,25,48,0.06989995017647743,True
line,0,77,76,48,35,graph_images\line\line_graph_0.png,BFS (unweighted),264,13,27,50,0.03060000017285347,True
line,0,77,76,48,35,graph_images\line\line_graph_0.png,Bidirectional Dijkstra,264,13,22,44,0.05150004290044308,True
line,0,77,76,48,35,graph_images\line\line_graph_0.png,Floyd-Warshall,264,13,77,237083,32.41970017552376,True
line,1,252,251,42,97,graph_images\line\line_graph_1.png,Dijkstra,1517,55,98,193,0.1588999293744564,True
line,1,252,251,42,97,graph_images\line\line_graph_1.png,Bellman-Ford,1517,55,251,21586,3.6750000435858965,True
line,1,252,251,42,97,graph_images\line\line_graph_1.png,A*,1517,55,98,193,0.20280014723539352,True
line,1,252,251,42,97,graph_images\line\line_graph_1.png,BFS (unweighted),1517,55,98,193,0.09079999290406704,True
line,1,252,251,42,97,graph_images\line\line_graph_1.png,Bidirectional Dijkstra,1517,55,111,222,0.19669998437166214,True
line,1,252,251,42,97,graph_images\line\line_graph_1.png,Floyd-Warshall,1517,55,252,8096508,927.5448000989854,True
line,2,21,20,10,1,graph_images\line\line_graph_2.png,Dijkstra,311,9,20,37,0.0491999089717865,True
line,2,21,20,10,1,graph_images\line\line_graph_2.png,Bellman-Ford,311,9,20,440,0.10750000365078449,True
line,2,21,20,10,1,graph_images\line\line_graph_2.png,A*,311,9,20,37,0.0342000275850296,True
line,2,21,20,10,1,graph_images\line\line_graph_2.png,BFS (unweighted),311,9,19,34,0.017999904230237007,True
line,2,21,20,10,1,graph_images\line\line_graph_2.png,Bidirectional Dijkstra,311,9,17,33,0.030499882996082306,True
line,2,21,20,10,1,graph_images\line\line_graph_2.png,Floyd-Warshall,311,9,21,5271,0.6661999505013227,True
line,3,45,44,4,0,graph_images\line\line_graph_3.png,Dijkstra,136,4,13,24,0.05679996684193611,True
line,3,45,44,4,0,graph_images\line\line_graph_3.png,Bellman-Ford,136,4,44,440,0.15360000543296337,True
line,3,45,44,4,0,graph_images\line\line_graph_3.png,A*,136,4,13,24,0.03060000017285347,True
line,3,45,44,4,0,graph_images\line\line_graph_3.png,BFS (unweighted),136,4,9,14,0.015099998563528061,True
line,3,45,44,4,0,graph_images\line\line_graph_3.png,Bidirectional Dijkstra,136,4,9,17,0.02369983121752739,True
line,3,45,44,4,0,graph_images\line\line_graph_3.png,Floyd-Warshall,136,4,45,48555,6.190499989315867,True
line,4,254,253,98,126,graph_images\line\line_graph_4.png,Dijkstra,597,28,54,106,0.10730000212788582,True
line,4,254,253,98,126,graph_images\line\line_graph_4.png,Bellman-Ford,597,28,253,50094,8.093500044196844,True
line,4,254,253,98,126,graph_images\line\line_graph_4.png,A*,597,28,54,106,0.1083998940885067,True
line,4,254,253,98,126,graph_images\line\line_graph_4.png,BFS (unweighted),597,28,58,112,0.04950002767145634,True
line,4,254,253,98,126,graph_images\line\line_graph_4.png,Bidirectional Dijkstra,597,28,47,94,0.09280000813305378,True
line,4,254,253,98,126,graph_images\line\line_graph_4.png,Floyd-Warshall,597,28,254,8290052,938.8118998613209,True
line,5,224,223,162,212,graph_images\line\line_graph_5.png,Dijkstra,1391,50,108,214,0.1642000861465931,True
line,5,224,223,162,212,graph_images\line\line_graph_5.png,Bellman-Ford,1391,50,223,72698,10.593400103971362,True
line,5,224,223,162,212,graph_images\line\line_graph_5.png,A*,1391,50,108,214,0.19689998589456081,True
line,5,224,223,162,212,graph_images\line\line_graph_5.png,BFS (unweighted),1391,50,102,200,0.0708999577909708,True
line,5,224,223,162,212,graph_images\line\line_graph_5.png,Bidirectional Dijkstra,1391,50,89,177,0.1501000951975584,True
line,5,224,223,162,212,graph_images\line\line_graph_5.png,Floyd-Warshall,1391,50,224,5694752,641.182699939236,True
line,6,255,254,214,220,graph_images\line\line_graph_6.png,Dijkstra,138,6,11,20,0.040400074794888496,True
line,6,255,254,214,220,graph_images\line\line_graph_6.png,Bellman-Ford,138,6,254,109220,15.086499974131584,True
line,6,255,254,214,220,graph_images\line\line_graph_6.png,A*,138,6,11,20,0.04200008697807789,True
line,6,255,254,214,220,graph_images\line\line_graph_6.png,BFS (unweighted),138,6,14,24,0.018900027498602867,True
line,6,255,254,214,220,graph_images\line\line_graph_6.png,Bidirectional Dijkstra,138,6,13,26,0.03139977343380451,True
line,6,255,254,214,220,graph_images\line\line_graph_6.png,Floyd-Warshall,138,6,255,8387970,935.380500042811,True
line,7,30,29,22,15,graph_images\line\line_graph_7.png,Dijkstra,188,7,15,27,0.05539995618164539,True
line,7,30,29,22,15,graph_images\line\line_graph_7.png,Bellman-Ford,188,7,29,1334,0.2188000362366438,True
